PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
191,Patricia Mazzei,JR-3,Oral Roberts,06:09.4,22:57.3,188
192,Gabrielle Wahl,FR-1,North Dakota,06:09.4,22:57.4,189
193,Erica Woodard,FR-1,SIU Edwardsville,06:09.5,22:57.6,190
194,Lydia Bennett,SO-2,Western Illinois,06:10.2,23:00.2,
195,Brooklyn Bender,SO-2,SE Missouri,06:10.2,23:00.3,191
196,Olivia Correale,FR-1,North Dakota,06:10.7,23:02.2,192
197,Korima Gonzalez,FR-1,Illinois-Chicago,06:11.3,23:04.5,193
198,Amelia Montgomery,FR-1,DePaul,06:11.6,23:05.6,194
199,Jadie Chavez,FR-1,Illinois-Chicago,06:11.9,23:06.5,195
200,Sophie Krueger,FR-1,Eastern Illinois,06:11.9,23:06.8,196
201,Kaitlin Skeate,SR-4,Illinois State,06:12.1,23:07.6,197
202,Ella Cronhardt,SO-2,Missouri State,06:12.3,23:08.2,198
203,Brooke O'Brien,SO-2,Northern Iowa,06:12.9,23:10.4,199
204,Audrey Boles,JR-3,Southern Illinois,06:13.0,23:10.9,200
205,Kayla Vogelsang,JR-3,SE Missouri,06:13.2,23:11.7,201
206,Riley Doyle,SO-2,SIU Edwardsville,06:13.8,23:13.8,202
207,Lily Schwartz,SO-2,Omaha,06:14.2,23:15.3,203
208,Lillian Woolery,SO-2,Oral Roberts,06:14.6,23:16.6,204
209,Mia Loafman,SO-2,SIU Edwardsville,06:15.0,23:18.1,205
210,Isabela Garcia,SO-2,Illinois-Chicago,06:15.2,23:18.9,206
211,Emily See,FR-1,Wichita State,06:15.4,23:19.7,207
212,Macie Russell,FR-1,Eastern Illinois,06:15.6,23:20.4,208
